"County","State","pct_more_65y","pct_less_18y","pct_high_school","pct_asian","pct_black","pct_latino","pct_white","pct_homeownership","households","housing_units","median_value_occupied_units","pers_houshold","median_household_income","income_capita","land_area","lang_other_eng","living_same_house","mean_travel_time_work","pct_female","veterans","pop_2020","pop_2010","pop_square_mile","retail_sales","total_firms","party","diff_Biden_Trump"
"Cowley County","KS",18.8,23.4,90.7,1.9,2.8,11.2,79.2,67.4,13499,16209,89000,2.45,50102,24726,1125.75,6.7,83.2,19.1,49.7,2330,34549,36311,32.3,337100,2604,"REP",-5271
"Cowlitz County","WA",19.3,22.8,89.3,1.6,1.1,9.3,83.2,66.1,41952,45282,219300,2.52,54506,28876,1140.13,6.9,80.9,25.7,50.5,9522,110730,102410,89.8,1188331,5848,"REP",-10486
"Craig County","OK",20.1,21.4,86.8,0.7,3.2,4,62.5,69.5,5422,6741,109000,2.44,43329,21318,761.35,3.2,86.2,21.7,48.8,850,14107,15029,19.7,204927,1380,"REP",-3469
"Craig County","VA",24.1,17.5,90.8,0.2,0.4,1.6,96.8,76.4,2297,2907,165800,2.22,55708,30103,329.53,0.7,89.5,33.9,50.2,320,4892,5190,15.7,18648,200,"REP",-1949
"Craighead County","AR",14,25,89.3,1.3,16.8,5.3,74.9,57.1,41375,46934,140700,2.5,47286,26948,707.21,5.7,76.9,19,51.5,5425,111231,96443,136.4,1680884,8947,"REP",-13637
"Crane County","TX",12.4,28.9,79.5,1,3.7,66.1,29.3,85.6,1421,1695,100400,3.31,65969,27893,785.07,45.2,93.6,29.2,49.6,192,4675,4375,5.6,30225,378,"REP",-1006
"Craven County","NC",19.7,21.3,88.8,2.9,21.4,7.6,65.6,62.9,41226,47674,157900,2.36,52687,29521,708.96,8.4,81.4,20.5,49.5,11691,100720,103505,146,1213554,6409,"REP",-9884
"Crawford County","AR",17.2,24.3,85,1.5,1.7,8.1,83.6,76,23958,27078,115200,2.59,46828,24547,593.09,7.2,86.1,22.3,50.6,4298,60133,61948,104.4,525417,4474,"REP",-13648
"Crawford County","GA",19.4,20.2,83.1,1.3,20.8,3.6,72.8,77.9,4510,5409,93400,2.7,46283,23204,324.89,1.6,89.1,29.4,49.5,913,12130,12630,38.9,23119,801,"REP",-2813
"Crawford County","IA",17.9,25.1,80.2,2.5,3.6,28.9,64.6,69.1,6437,7068,93400,2.55,55755,29196,714.19,30.4,89.7,16.7,49,805,16525,17096,23.9,184393,1392,"REP",-2634
